"","SRR12885679","SRR12885688","SRR12885709","SRR12885579","SRR12885580","SRR12885581"
"ENSG00000025770",2098,2168,5605,1,1,1
"ENSG00000025772",4270,6983,8141,1,1,1
"ENSG00000025796",17078,25322,37541,1,1,1
"ENSG00000025800",9605,7235,9340,1,1,1
"ENSG00000026025",4722,13519,33878,1,1,1
"ENSG00000026036",459,238,275,1,1,1
"ENSG00000026103",690,744,380,1,1,1
"ENSG00000026297",433,686,67,1,1,1
"ENSG00000026508",51999,73445,30711,1,1,1
"ENSG00000026559",24,48,110,1,1,1
"ENSG00000026652",1009,1101,1361,1,1,1
"ENSG00000026751",194,695,1444,1,1,1
"ENSG00000026950",1221,1246,166,1,1,1
"ENSG00000027001",1384,958,1144,1,1,1
"ENSG00000027075",2504,2061,3924,1,1,1
"ENSG00000027644",172,45,23,1,1,1
"ENSG00000027697",5560,10806,6897,1,1,1
"ENSG00000027847",1270,1365,1034,1,1,1
"ENSG00000027869",80,24,20,1,1,1
"ENSG00000028116",1501,2586,1536,1,1,1
"ENSG00000028137",98,161,271,1,1,1
"ENSG00000028203",6460,6367,4451,1,1,1
"ENSG00000028277",53,417,878,1,1,1
"ENSG00000028310",1553,1822,1879,1,1,1
"ENSG00000028528",11260,7474,9385,1,1,1
"ENSG00000028839",1355,1666,3837,1,1,1
"ENSG00000029153",1086,2144,951,1,1,1
"ENSG00000029363",18216,18909,44041,1,1,1
"ENSG00000029364",13750,13697,14737,1,1,1
"ENSG00000029534",415,649,183,1,1,1
"ENSG00000029559",14,1,1,1,1,1
"ENSG00000029639",670,675,604,1,1,1
"ENSG00000029725",3682,3762,8502,1,1,1
"ENSG00000029993",4702,4013,10788,1,1,1
"ENSG00000030066",3807,3150,13076,1,1,1
"ENSG00000030110",1425,1486,1774,1,1,1
"ENSG00000030304",1,3,3,1,1,1
"ENSG00000030419",1514,853,644,1,1,1
"ENSG00000030582",29586,34201,45894,1,1,1
"ENSG00000031003",4843,4890,7605,1,1,1
"ENSG00000031081",428,702,565,1,1,1
"ENSG00000031691",642,719,1759,1,1,1
"ENSG00000031698",26340,28388,47883,1,1,1
"ENSG00000031823",4298,3696,5065,1,1,1
"ENSG00000032219",3727,4888,6393,1,1,1
"ENSG00000032389",2061,1422,1052,1,1,1
"ENSG00000032444",5579,2158,3389,1,1,1
"ENSG00000032742",1556,2509,1628,1,1,1
"ENSG00000033011",1418,1480,1148,1,1,1
"ENSG00000033030",3493,2284,5015,1,1,1
"ENSG00000033050",953,730,1680,1,1,1
"ENSG00000033100",6206,5648,5991,1,1,1
"ENSG00000033122",51,104,184,1,1,1
"ENSG00000033170",1658,1866,1110,1,1,1
"ENSG00000033178",4553,4990,9627,1,1,1
"ENSG00000033327",3399,8225,6951,1,1,1
"ENSG00000033627",17413,20992,20431,1,1,1
"ENSG00000033800",8808,9437,9160,1,1,1
"ENSG00000033867",3684,2949,7720,1,1,1
"ENSG00000034053",110,257,165,1,1,1
"ENSG00000034152",2054,2833,6780,1,1,1
"ENSG00000034239",17,24,3,1,1,1
"ENSG00000034510",24146,33128,20447,1,1,1
"ENSG00000034533",537,926,786,1,1,1
"ENSG00000034677",7385,10601,6132,1,1,1
"ENSG00000034693",1947,2216,2581,1,1,1
"ENSG00000034713",8883,10481,11481,1,1,1
"ENSG00000034971",1,1,3,1,1,1
"ENSG00000035115",7694,9088,4875,1,1,1
"ENSG00000035141",2687,3466,2988,1,1,1
"ENSG00000035403",9342,7220,7218,1,1,1
"ENSG00000035499",15,47,149,1,1,1
"ENSG00000035664",2032,2153,3283,1,1,1
"ENSG00000035681",2454,3031,8633,1,1,1
"ENSG00000035687",4018,5006,5980,1,1,1
"ENSG00000035720",22,8,18,1,1,1
"ENSG00000035862",45108,35306,9698,1,1,1
"ENSG00000035928",5881,5848,5822,1,1,1
"ENSG00000036054",4434,5581,14814,1,1,1
"ENSG00000036257",7261,9700,13224,1,1,1
"ENSG00000036448",160,109,111,1,1,1
"ENSG00000036473",66,344,1,1,1,1
"ENSG00000036530",187,551,146,1,1,1
"ENSG00000036549",6925,8911,15742,1,1,1
"ENSG00000036565",1,2,2,1,1,1
"ENSG00000036672",1629,2483,2095,1,1,1
"ENSG00000036828",37232,19376,1563,1,1,1
"ENSG00000037042",1114,1309,1377,1,1,1
"ENSG00000037241",1520,1522,3991,1,1,1
"ENSG00000037280",54,41,1,1,1,1
"ENSG00000037474",4115,4493,10594,1,1,1
"ENSG00000037637",2722,3203,4261,1,1,1
"ENSG00000037749",3846,4659,11781,1,1,1
"ENSG00000037757",706,490,339,1,1,1
"ENSG00000037897",512,406,802,1,1,1
"ENSG00000037965",3,1,13,1,1,1
"ENSG00000038002",5232,4410,1593,1,1,1
"ENSG00000038210",2879,4413,4011,1,1,1
"ENSG00000038219",4784,7822,20479,1,1,1
"ENSG00000038274",4722,4582,6324,1,1,1
"ENSG00000038295",94,115,66,1,1,1
"ENSG00000038358",3015,3036,5298,1,1,1
"ENSG00000038382",9165,11961,13939,1,1,1
"ENSG00000038427",1623,2803,489,1,1,1
"ENSG00000038532",2306,1738,1665,1,1,1
"ENSG00000038945",259,107,5,1,1,1
"ENSG00000039068",31538,46383,7018,1,1,1
"ENSG00000039123",8132,7211,7111,1,1,1
"ENSG00000039139",2892,3127,1343,1,1,1
"ENSG00000039319",3670,4531,11354,1,1,1
"ENSG00000039523",2680,3494,4134,1,1,1
"ENSG00000039537",3474,952,5,1,1,1
"ENSG00000039560",2408,3537,6794,1,1,1
"ENSG00000039600",42,42,44,1,1,1
"ENSG00000039650",2313,1667,2543,1,1,1
"ENSG00000039987",4,10,68,1,1,1
"ENSG00000040199",2658,3931,5585,1,1,1
"ENSG00000040275",564,739,1844,1,1,1
"ENSG00000040341",4056,3611,1638,1,1,1
"ENSG00000040487",1530,1826,3323,1,1,1
"ENSG00000040531",1360,1417,7818,1,1,1
"ENSG00000040608",64,133,95,1,1,1
"ENSG00000040633",4386,2355,4452,1,1,1
"ENSG00000040731",1771,1014,315,1,1,1
"ENSG00000040933",4450,4499,1843,1,1,1
"ENSG00000041353",3286,7873,582,1,1,1
"ENSG00000041357",6628,7153,7667,1,1,1
"ENSG00000041515",316,584,2386,1,1,1
